task_id,model,seed,target_coverage,empirical_coverage,avg_set_size,n_classes,n_test
146820,single_mlp,3,0.9,1.0,1.8956611570247934,2,968
146820,single_mlp,4,0.9,1.0,1.9297520661157024,2,968
146820,xgboost,0,0.9,1.0,1.9070247933884297,2,968
146820,xgboost,1,0.9,1.0,1.9349173553719008,2,968
146820,xgboost,2,0.9,1.0,1.9090909090909092,2,968
146820,xgboost,3,0.9,1.0,1.9266528925619835,2,968
146820,xgboost,4,0.9,1.0,1.896694214876033,2,968
146821,catboost,0,0.9,1.0,3.0578034682080926,4,346
146821,catboost,1,0.9,1.0,2.80635838150289,4,346
146821,catboost,2,0.9,1.0,2.7976878612716765,4,346
146821,catboost,3,0.9,1.0,2.8583815028901736,4,346
146821,catboost,4,0.9,1.0,2.884393063583815,4,346
146821,deep_ensemble,0,0.9,1.0,3.578034682080925,4,346
146821,deep_ensemble,1,0.9,1.0,3.5115606936416186,4,346
146821,deep_ensemble,2,0.9,1.0,3.4277456647398843,4,346
146821,deep_ensemble,3,0.9,1.0,3.4364161849710984,4,346
146821,deep_ensemble,4,0.9,1.0,3.5028901734104045,4,346
146821,lgbm,0,0.9,1.0,3.332369942196532,4,346
146821,lgbm,1,0.9,1.0,3.3728323699421967,4,346
146821,lgbm,2,0.9,1.0,3.245664739884393,4,346
146821,lgbm,3,0.9,1.0,3.3121387283236996,4,346
146821,lgbm,4,0.9,1.0,3.346820809248555,4,346
146821,mc_dropout,0,0.9,1.0,3.4971098265895955,4,346
146821,mc_dropout,1,0.9,1.0,3.552023121387283,4,346
146821,mc_dropout,2,0.9,1.0,3.407514450867052,4,346
146821,mc_dropout,3,0.9,1.0,3.346820809248555,4,346
146821,mc_dropout,4,0.9,1.0,3.398843930635838,4,346
146821,single_mlp,0,0.9,1.0,3.6184971098265897,4,346
146821,single_mlp,1,0.9,1.0,3.520231213872832,4,346
146821,single_mlp,2,0.9,1.0,3.433526011560694,4,346
146821,single_mlp,3,0.9,1.0,3.401734104046243,4,346
146821,single_mlp,4,0.9,1.0,3.485549132947977,4,346
146821,xgboost,0,0.9,1.0,3.338150289017341,4,346
146821,xgboost,1,0.9,1.0,3.3757225433526012,4,346
146821,xgboost,2,0.9,1.0,3.3352601156069364,4,346
146821,xgboost,3,0.9,1.0,3.401734104046243,4,346
146821,xgboost,4,0.9,1.0,3.5028901734104045,4,346
146825,catboost,0,0.9,0.9998571428571429,3.8825714285714286,10,14000
146825,catboost,1,0.9,0.9997142857142857,3.9175714285714287,10,14000
146825,catboost,2,0.9,0.9996428571428572,3.9604285714285714,10,14000
146825,catboost,3,0.9,0.9997142857142857,3.8922142857142856,10,14000
146825,catboost,4,0.9,0.9997857142857143,3.8955,10,14000
146825,deep_ensemble,0,0.9,0.9999285714285714,5.747428571428571,10,14000
146825,deep_ensemble,1,0.9,1.0,6.040642857142857,10,14000
146825,deep_ensemble,2,0.9,0.9997857142857143,5.792642857142857,10,14000
146825,deep_ensemble,3,0.9,0.9999285714285714,5.631785714285714,10,14000
146825,deep_ensemble,4,0.9,1.0,6.021571428571429,10,14000
146825,lgbm,0,0.9,1.0,6.051142857142857,10,14000
146825,lgbm,1,0.9,1.0,6.205285714285714,10,14000
146825,lgbm,2,0.9,1.0,6.182857142857143,10,14000
146825,lgbm,3,0.9,0.9999285714285714,5.981285714285714,10,14000
146825,lgbm,4,0.9,1.0,6.093285714285714,10,14000
146825,mc_dropout,0,0.9,0.9998571428571429,5.402714285714286,10,14000
146825,mc_dropout,1,0.9,1.0,6.2165,10,14000
146825,mc_dropout,2,0.9,0.9995714285714286,4.983428571428571,10,14000
146825,mc_dropout,3,0.9,0.9998571428571429,5.414857142857143,10,14000
146825,mc_dropout,4,0.9,1.0,5.149785714285715,10,14000
146825,single_mlp,0,0.9,0.9997142857142857,5.9977857142857145,10,14000
146825,single_mlp,1,0.9,1.0,6.7135,10,14000
146825,single_mlp,2,0.9,0.9995714285714286,5.365285714285714,10,14000
146825,single_mlp,3,0.9,0.9999285714285714,5.821357142857143,10,14000
146825,single_mlp,4,0.9,0.9999285714285714,5.5365714285714285,10,14000
146825,xgboost,0,0.9,1.0,5.744285714285715,10,14000
146825,xgboost,1,0.9,1.0,5.742,10,14000
146825,xgboost,2,0.9,1.0,5.865571428571428,10,14000
146825,xgboost,3,0.9,0.9999285714285714,5.7371428571428575,10,14000
146825,xgboost,4,0.9,1.0,5.863857142857142,10,14000
14952,catboost,0,0.9,1.0,1.9425599276345544,2,2211
14952,catboost,1,0.9,1.0,1.9384893713251923,2,2211
14952,catboost,2,0.9,1.0,1.9434644957033016,2,2211
14952,catboost,3,0.9,1.0,1.9416553595658073,2,2211
14952,catboost,4,0.9,1.0,1.9276345545002262,2,2211
14952,deep_ensemble,0,0.9,1.0,1.9213025780189958,2,2211
14952,deep_ensemble,1,0.9,1.0,1.9317051108095884,2,2211
14952,deep_ensemble,2,0.9,1.0,1.8575305291723203,2,2211
14952,deep_ensemble,3,0.9,1.0,1.9389416553595658,2,2211
14952,deep_ensemble,4,0.9,1.0,1.8819538670284939,2,2211
14952,lgbm,0,0.9,1.0,1.9416553595658073,2,2211
14952,lgbm,1,0.9,1.0,1.9389416553595658,2,2211
14952,lgbm,2,0.9,1.0,1.9317051108095884,2,2211
14952,lgbm,3,0.9,1.0,1.9443690637720488,2,2211
14952,lgbm,4,0.9,1.0,1.9357756671189508,2,2211
14952,mc_dropout,0,0.9,1.0,1.937584803256445,2,2211
14952,mc_dropout,1,0.9,1.0,1.8625056535504296,2,2211
14952,mc_dropout,2,0.9,1.0,1.837177747625509,2,2211
14952,mc_dropout,3,0.9,1.0,1.9484396200814111,2,2211
14952,mc_dropout,4,0.9,1.0,1.8710990502035278,2,2211
14952,single_mlp,0,0.9,1.0,1.9050203527815468,2,2211
14952,single_mlp,1,0.9,1.0,1.7783808231569425,2,2211
14952,single_mlp,2,0.9,1.0,1.7345092718227046,2,2211
14952,single_mlp,3,0.9,1.0,1.9335142469470827,2,2211
14952,single_mlp,4,0.9,1.0,1.7761194029850746,2,2211
14952,xgboost,0,0.9,1.0,1.9443690637720488,2,2211
14952,xgboost,1,0.9,1.0,1.945273631840796,2,2211
14952,xgboost,2,0.9,1.0,1.9502487562189055,2,2211
14952,xgboost,3,0.9,1.0,1.946178199909543,2,2211
14952,xgboost,4,0.9,1.0,1.9226594301221167,2,2211
14954,catboost,0,0.9,1.0,2.0,2,108
14954,catboost,1,0.9,1.0,2.0,2,108
14954,catboost,2,0.9,1.0,2.0,2,108
14954,catboost,3,0.9,1.0,2.0,2,108
14954,catboost,4,0.9,1.0,2.0,2,108
14954,deep_ensemble,0,0.9,1.0,2.0,2,108
14954,deep_ensemble,1,0.9,1.0,2.0,2,108
14954,deep_ensemble,2,0.9,1.0,2.0,2,108
14954,deep_ensemble,3,0.9,1.0,2.0,2,108
14954,deep_ensemble,4,0.9,1.0,2.0,2,108
14954,lgbm,0,0.9,1.0,2.0,2,108
14954,lgbm,1,0.9,1.0,2.0,2,108
14954,lgbm,2,0.9,1.0,2.0,2,108
14954,lgbm,3,0.9,1.0,2.0,2,108
14954,lgbm,4,0.9,1.0,2.0,2,108
14954,mc_dropout,0,0.9,1.0,2.0,2,108
14954,mc_dropout,1,0.9,1.0,2.0,2,108
14954,mc_dropout,2,0.9,1.0,2.0,2,108
14954,mc_dropout,3,0.9,1.0,2.0,2,108
14954,mc_dropout,4,0.9,1.0,2.0,2,108
14954,single_mlp,0,0.9,1.0,2.0,2,108
14954,single_mlp,1,0.9,1.0,2.0,2,108
14954,single_mlp,2,0.9,1.0,2.0,2,108
14954,single_mlp,3,0.9,1.0,2.0,2,108
14954,single_mlp,4,0.9,1.0,2.0,2,108
14954,xgboost,0,0.9,1.0,2.0,2,108
14954,xgboost,1,0.9,1.0,2.0,2,108
14954,xgboost,2,0.9,1.0,2.0,2,108
14954,xgboost,3,0.9,1.0,2.0,2,108
14954,xgboost,4,0.9,1.0,2.0,2,108
14965,catboost,0,0.9,1.0,1.993254450956541,2,9043
14965,catboost,1,0.9,1.0,1.9962401857790557,2,9043
14965,catboost,2,0.9,1.0,1.990158133362822,2,9043
14965,catboost,3,0.9,1.0,1.992812119871724,2,9043
14965,catboost,4,0.9,1.0,1.9927015371005197,2,9043
14965,deep_ensemble,0,0.9,1.0,1.9984518412031405,2,9043
14965,deep_ensemble,1,0.9,1.0,1.9993365033727746,2,9043
14965,deep_ensemble,2,0.9,1.0,1.9946920269821962,2,9043
