family,comparison,metric,calibrator,model,n,med_a,med_b,med_diff,p,p_adj,sig,rbc,magnitude,note,wins,losses,ties
H2,temp vs raw,cal_nll,temp,xgboost,36,0.21731951087713242,0.2207204923033714,-0.0004971474409103532,0.00033473377698101103,0.014393552410183474,True,-0.6576576576576577,large,calibrator effect within model,11,25,0
H2,temp vs raw,cal_ece_mean,temp,xgboost,36,0.016381988044576502,0.03139668076824225,-0.003962881411477846,1.605928991921246e-05,0.0008190237858798355,True,-0.7687687687687688,large,calibrator effect within model,8,28,0
H2,temp vs raw,cal_brier_score,temp,xgboost,36,0.1250228583812713,0.1262535154819488,-0.0003392696380615373,0.0025483967872926977,0.08154869719336633,False,-0.5932773109243697,large,calibrator effect within model,8,26,2
H2,logistic vs raw,cal_nll,logistic,xgboost,36,0.2483726760826485,0.2207204923033714,0.02002122504655126,3.987224772572517e-09,2.711312845349312e-07,True,0.954954954954955,large,calibrator effect within model,33,3,0
H2,logistic vs raw,cal_ece_mean,logistic,xgboost,36,0.0393553389431955,0.03139668076824225,0.010106528238140898,0.00018572056433185935,0.008171704830601811,True,0.6816816816816816,large,calibrator effect within model,30,6,0
H2,logistic vs raw,cal_brier_score,logistic,xgboost,36,0.13276420495219945,0.1262535154819488,0.0032393609749818524,0.0003858958662021905,0.016207626380492002,True,0.6516516516516516,large,calibrator effect within model,30,6,0
H2,isotonic vs raw,cal_nll,isotonic,xgboost,36,0.2708963304758072,0.2207204923033714,0.0479478985071182,4.881003405898809e-07,2.9286020435392857e-05,True,0.8648648648648649,large,calibrator effect within model,32,4,0
H2,isotonic vs raw,cal_ece_mean,isotonic,xgboost,36,0.0151128800951704,0.03139668076824225,-0.0028069010333914984,0.012085462658433244,0.3263074917776976,False,-0.4744744744744745,medium,calibrator effect within model,10,26,0
H2,isotonic vs raw,cal_brier_score,isotonic,xgboost,36,0.12497854605317116,0.1262535154819488,0.00038020778447390643,0.6693764294905122,1.0,False,0.08408408408408409,small,calibrator effect within model,19,17,0
H2,dirichlet vs raw,cal_nll,dirichlet,xgboost,36,0.21631837888030545,0.2207204923033714,-0.0025574495176686786,0.10794601368252188,1.0,False,-0.30930930930930933,medium,calibrator effect within model,12,24,0
