task_id,dataset_name,n_samples,n_features,n_classes,seed,model,calibrator,label_noise_eta,cal_nll,cal_brier_score,cal_accuracy,cal_ece_10,cal_ece_15,cal_ece_20,cal_ece_mean,raw_nll,raw_brier_score,raw_accuracy,raw_ece_10,raw_ece_15,raw_ece_20,raw_ece_mean,train_time_s
3913,kc2,522,21,2,0,catboost,temp,0.1,0.37546342611312866,0.2314024567604065,0.8285714285714286,0.04755296990984961,0.04755303575879048,0.07810466175987604,0.05773688914283872,0.41468328068583743,0.24987422508703622,0.8285714285714286,0.11116383802394716,0.1430472870252025,0.11932020044277664,0.1245104418306421,0.1
3913,kc2,522,21,2,0,catboost,logistic,0.1,0.4236996554891914,0.26481305312581227,0.819047619047619,0.12113395069716802,0.12113395069716804,0.12210282757109206,0.1214569096551427,0.41468328068583743,0.24987422508703622,0.8285714285714286,0.11116383802394716,0.1430472870252025,0.11932020044277664,0.1245104418306421,0.1
3913,kc2,522,21,2,0,catboost,isotonic,0.1,0.36580009997106355,0.22719124623605963,0.8285714285714286,0.036996005795895195,0.056043624843514245,0.0527688179509118,0.04860281619677375,0.41468328068583743,0.24987422508703622,0.8285714285714286,0.11116383802394716,0.1430472870252025,0.11932020044277664,0.1245104418306421,0.1
3913,kc2,522,21,2,0,catboost,dirichlet,0.1,0.37723119865261023,0.23342491324476608,0.8285714285714286,0.06441187842007148,0.07200102421064211,0.07643758127621049,0.07095016130230802,0.41468328068583743,0.24987422508703622,0.8285714285714286,0.11116383802394716,0.1430472870252025,0.11932020044277664,0.1245104418306421,0.1
3913,kc2,522,21,2,0,single_mlp,none,0.1,0.3803037405014038,0.22933977842330933,0.8476190476190476,0.077524881703513,0.11266920282727197,0.09951197987511047,0.09656868813529847,0.3803037405014038,0.22933977842330933,0.8476190476190476,0.077524881703513,0.11266920282727197,0.09951197987511047,0.09656868813529847,0.49
3913,kc2,522,21,2,0,single_mlp,temp,0.1,0.3715209662914276,0.2247021198272705,0.8476190476190476,0.07121144873755322,0.07878367617016747,0.08083405154091973,0.07694305881621348,0.3803037405014038,0.22933977842330933,0.8476190476190476,0.077524881703513,0.11266920282727197,0.09951197987511047,0.09656868813529847,0.49
3913,kc2,522,21,2,0,single_mlp,logistic,0.1,0.41448563990187753,0.25725320895596115,0.8380952380952381,0.1322304187058461,0.13319483995074421,0.14584741165745893,0.1370908901046831,0.3803037405014038,0.22933977842330933,0.8476190476190476,0.077524881703513,0.11266920282727197,0.09951197987511047,0.09656868813529847,0.49
3913,kc2,522,21,2,0,single_mlp,isotonic,0.1,0.36546674370765686,0.22408127784729004,0.8380952380952381,0.04925838311513263,0.024479825723738864,0.049258366652897415,0.040998858497256305,0.3803037405014038,0.22933977842330933,0.8476190476190476,0.077524881703513,0.11266920282727197,0.09951197987511047,0.09656868813529847,0.49
3913,kc2,522,21,2,0,single_mlp,dirichlet,0.1,0.3925146362260104,0.2437006755991781,0.8380952380952381,0.0832560459991153,0.08325604599911521,0.08556597295098246,0.08402602164973766,0.3803037405014038,0.22933977842330933,0.8476190476190476,0.077524881703513,0.11266920282727197,0.09951197987511047,0.09656868813529847,0.49
3913,kc2,522,21,2,0,mc_dropout,none,0.1,0.38210827112197876,0.2303713709115982,0.8476190476190476,0.08502913202558242,0.10115726050876438,0.10160917554582868,0.09593185602672516,0.38210827112197876,0.2303713709115982,0.8476190476190476,0.08502913202558242,0.10115726050876438,0.10160917554582868,0.09593185602672516,0.24
