task_id,dataset_name,n_samples,regime,n_classes,seed,config_idx,is_fixed,hidden_dims,lr,dropout,weight_decay,val_cal_nll,nll_ts,ece_ts,brier_ts,nll_raw,temperature
9946,wdbc,569,small,2,4,9,False,"(128, 64)",0.003,0.2,0.001,0.082151673734188,0.1010855510830879,0.0474636176524803,0.0646559670567512,0.1060183644294738,1.3009027242660522
9946,wdbc,569,small,2,4,10,False,"(512, 256, 128)",0.0005,0.1,0.001,0.0968349203467369,0.1023387759923935,0.0483300312917832,0.0642619282007217,0.1039010360836982,1.2774879932403564
9946,wdbc,569,small,2,4,11,False,"(512, 256)",0.003,0.0,0.0001,0.1617256999015808,0.111661709845066,0.0305722125789575,0.0665539801120758,0.194503054022789,2.40976619720459
9946,wdbc,569,small,2,4,12,False,"(256, 128, 64)",0.001,0.3,0.0,0.0923870876431465,0.1039289534091949,0.0307478247678767,0.0609584152698516,0.1099894195795059,1.3084789514541626
9946,wdbc,569,small,2,4,13,False,"(128, 64)",0.003,0.0,0.001,0.1068538948893547,0.1226630508899688,0.0372702411392278,0.0785128623247146,0.1351393461227417,1.4865326881408691
9946,wdbc,569,small,2,4,14,False,"(512, 256, 128)",0.0005,0.05,0.0,0.0866993442177772,0.1067466288805008,0.027074727921458,0.063515193760395,0.1079252883791923,1.13696551322937
9960,wall-robot-navigation,5456,medium,4,3,0,True,"(256, 128)",0.001,0.1,0.0001,0.2726296186447143,0.2219820171594619,0.0178286926832245,0.1173715814948082,0.2313088029623031,1.3602186441421509
9960,wall-robot-navigation,5456,medium,4,3,1,False,"(512, 256)",0.0001,0.1,0.001,0.2686997950077057,0.2453031688928604,0.0172117653056087,0.1305426061153412,0.2448491752147674,1.0183337926864624
9960,wall-robot-navigation,5456,medium,4,3,2,False,"(256, 128, 64)",0.0001,0.05,0.0001,0.2784854471683502,0.2663700580596924,0.0169177165889478,0.1406183540821075,0.268901377916336,0.9265804886817932
9960,wall-robot-navigation,5456,medium,4,3,3,False,"(256, 128)",0.001,0.3,0.001,0.2529416680335998,0.2181874811649322,0.0195675457808415,0.1172118186950683,0.2220561057329177,1.267341136932373
9960,wall-robot-navigation,5456,medium,4,3,4,False,"(256, 128)",0.0005,0.3,1e-05,0.2611876428127289,0.2390967905521392,0.0246298236724658,0.1283247321844101,0.2385946959257125,1.1106187105178833
9960,wall-robot-navigation,5456,medium,4,3,5,False,"(512, 256)",0.0005,0.05,0.001,0.2848184108734131,0.2330831736326217,0.0134401740881549,0.122295506298542,0.246507778763771,1.3787386417388916
9960,wall-robot-navigation,5456,medium,4,3,6,False,"(512, 256)",0.0001,0.0,0.001,0.268151044845581,0.2470316886901855,0.0210143751277155,0.1270258426666259,0.2476552277803421,1.1088067293167114
9960,wall-robot-navigation,5456,medium,4,3,7,False,"(128, 64)",0.0005,0.3,0.001,0.2892120480537414,0.270067036151886,0.0237596764232649,0.1466127038002014,0.270941823720932,0.9740147590637208
9960,wall-robot-navigation,5456,medium,4,3,8,False,"(64, 32)",0.0001,0.1,0.0001,0.5706720352172852,0.5020293593406677,0.042180615003074,0.2793906629085541,0.562642514705658,0.6656724810600281
9960,wall-robot-navigation,5456,medium,4,3,9,False,"(128, 64)",0.003,0.2,0.001,0.217641219496727,0.1721199452877044,0.0153848840621947,0.0901058316230773,0.1932871788740158,1.5352483987808228
