task_id,dataset_name,n_samples,regime,n_classes,model_label,nll_ts,ece_ts,brier_ts
32,pendigits,10992,large,10,SingleMLP_Fixed,0.0300854295492172,0.0035622584037352,0.0100219529122114
32,pendigits,10992,large,10,SingleMLP_Tuned,0.0234198421239852,0.0027576959167481,0.0080687403678894
32,pendigits,10992,large,10,LightGBM,0.0403870940208435,0.0051022138363558,0.0174807719886302
32,pendigits,10992,large,10,XGBoost,0.0408007204532623,0.0047025822890207,0.0172534249722957
32,pendigits,10992,large,10,DeepEnsemble_M5,0.02570591121912,0.0028380487061674,0.008327292278409
45,splice,3190,medium,3,SingleMLP_Fixed,0.4068603515625,0.0326448615286168,0.2319648712873459
45,splice,3190,medium,3,SingleMLP_Tuned,0.3948659002780914,0.0303910387409393,0.2292395532131195
45,splice,3190,medium,3,LightGBM,0.1005300059914588,0.0158243467534971,0.0516857355833053
45,splice,3190,medium,3,XGBoost,0.1020521447062492,0.0165430292907553,0.0540188997983932
45,splice,3190,medium,3,DeepEnsemble_M5,0.374296098947525,0.0358551906474331,0.2118597030639648
49,tic-tac-toe,958,small,2,SingleMLP_Fixed,0.2313566207885742,0.0426413636240694,0.1354015469551086
49,tic-tac-toe,958,small,2,SingleMLP_Tuned,0.1585723608732223,0.0315753955187069,0.0913305580615997
49,tic-tac-toe,958,small,2,LightGBM,0.0079548684880137,0.0061164090616835,0.0016191285103559
49,tic-tac-toe,958,small,2,XGBoost,0.0157312657684087,0.0099093184495965,0.0085455570369958
49,tic-tac-toe,958,small,2,DeepEnsemble_M5,0.2191172391176223,0.0325128664779994,0.1263816207647323
219,electricity,45312,large,2,SingleMLP_Fixed,0.3808373510837555,0.0072219597244978,0.242948368191719
219,electricity,45312,large,2,SingleMLP_Tuned,0.3649816513061523,0.007633979572896,0.2316167503595352
219,electricity,45312,large,2,LightGBM,0.2033028751611709,0.006664910476588,0.1223363503813743
219,electricity,45312,large,2,XGBoost,0.2367991954088211,0.0096768274475263,0.1450305432081222
219,electricity,45312,large,2,DeepEnsemble_M5,0.3749609291553497,0.0113287222114007,0.2411461472511291
2074,satimage,6430,medium,6,SingleMLP_Fixed,0.249300330877304,0.0170374248561122,0.134546160697937
2074,satimage,6430,medium,6,SingleMLP_Tuned,0.2347725331783294,0.0165135834024259,0.1299964040517807
2074,satimage,6430,medium,6,LightGBM,0.2338024973869323,0.0204116220437782,0.1234355792403221
2074,satimage,6430,medium,6,XGBoost,0.2348988056182861,0.0153063160187225,0.1250328421592712
2074,satimage,6430,medium,6,DeepEnsemble_M5,0.2318453937768936,0.0192727186925179,0.1265418827533722
2079,eucalyptus,736,small,5,SingleMLP_Fixed,0.8591534495353699,0.1074892181131216,0.4744386374950409
2079,eucalyptus,736,small,5,SingleMLP_Tuned,0.8287652730941772,0.0993194488791732,0.4632616937160492
2079,eucalyptus,736,small,5,LightGBM,0.8628025650978088,0.118303470514916,0.4780082702636719
2079,eucalyptus,736,small,5,XGBoost,0.8441091179847717,0.1239804103299304,0.4789491593837738
2079,eucalyptus,736,small,5,DeepEnsemble_M5,0.8598857522010803,0.0878913191793201,0.4737548232078552
3021,sick,3772,medium,2,SingleMLP_Fixed,0.0832865610718727,0.0107625695253839,0.044900357723236
3021,sick,3772,medium,2,SingleMLP_Tuned,0.0832865610718727,0.0107625695253839,0.044900357723236
3021,sick,3772,medium,2,LightGBM,0.0393813177943229,0.0094077436339775,0.0234580133110284
3021,sick,3772,medium,2,XGBoost,0.0425432063639164,0.009737387608745,0.0238737817853689
3021,sick,3772,medium,2,DeepEnsemble_M5,0.0795158445835113,0.0094419647263112,0.0411106683313846
3022,vowel,990,small,11,SingleMLP_Fixed,0.1862124502658844,0.0420225053423583,0.0884267911314964
3022,vowel,990,small,11,SingleMLP_Tuned,0.1606847047805786,0.0374151768808814,0.0819700136780738
3022,vowel,990,small,11,LightGBM,0.5163627862930298,0.0503125545452741,0.2326406091451645
3022,vowel,990,small,11,XGBoost,0.5337598919868469,0.0572969826684656,0.2487231492996215
3022,vowel,990,small,11,DeepEnsemble_M5,0.1722978800535202,0.0415782245120616,0.0910182744264602
3549,analcatdata_authorship,841,small,4,SingleMLP_Fixed,0.0081544313579797,0.0076045810118229,0.0054291929118335
3549,analcatdata_authorship,841,small,4,SingleMLP_Tuned,0.0180695466697216,0.0089232872223713,0.0118053210899233
3549,analcatdata_authorship,841,small,4,LightGBM,0.0519119538366794,0.0114374989588585,0.0264865774661302
3549,analcatdata_authorship,841,small,4,XGBoost,0.0644475817680358,0.0162209475769328,0.0353724397718906
3549,analcatdata_authorship,841,small,4,DeepEnsemble_M5,0.0090323258191347,0.005078433533392,0.0029620556160807
3560,analcatdata_dmft,797,small,6,SingleMLP_Fixed,1.7768867015838623,0.0255816148594021,0.8284414410591125
3560,analcatdata_dmft,797,small,6,SingleMLP_Tuned,1.7784169912338257,0.0391746633686125,0.8293378949165344
3560,analcatdata_dmft,797,small,6,LightGBM,1.771628737449646,0.0216643147791425,0.8260475993156433
3560,analcatdata_dmft,797,small,6,XGBoost,1.777559518814087,0.0178524231848617,0.8286468386650085
3560,analcatdata_dmft,797,small,6,DeepEnsemble_M5,1.7737901210784912,0.0284017841642101,0.8274486660957336
3573,mnist_784,70000,large,10,SingleMLP_Fixed,0.0873702242970466,0.0030119452519076,0.0381312519311904
3573,mnist_784,70000,large,10,SingleMLP_Tuned,0.0882409811019897,0.0032212385613293,0.0381278172135353
